bmi_bucket,avg_glucose
0,104.3
18.2,92.3
18.4,104.0
19.1,80.0
19.3,99.0
19.4,103.0
19.5,96.0
19.6,114.3
19.9,92.0
20,105.0
20.1,68.0
20.4,85.0
20.8,108.0
21,125.5
21.1,94.8
21.2,82.0
21.7,57.0
21.8,96.4
21.9,125.3
22.1,127.5
22.2,122.0
22.3,119.0
22.4,104.5
22.5,102.3
22.6,120.5
22.7,106.0
22.9,141.0
23,97.5
23.1,112.8
23.2,94.3
23.3,144.0
23.4,167.0
23.5,133.3
23.6,106.0
23.7,113.5
23.8,124.0
23.9,103.0
24,109.3
24.1,140.0
24.2,96.3
24.3,123.8
24.4,87.7
24.5,90.0
24.6,104.5
24.7,91.4
24.8,127.0
24.9,114.0
25,92.0
25.1,129.0
25.2,107.0
25.3,104.0
25.4,107.0
25.5,142.5
25.6,124.8
25.8,136.0
25.9,138.1
26,112.0
26.1,146.7
26.2,113.8
26.3,116.0
26.4,123.3
26.5,111.3
26.6,121.8
26.7,135.0
26.8,119.3
26.9,99.0
27,120.5
27.1,122.0
27.2,93.5
27.3,106.5
27.4,127.8
27.5,119.0
27.6,113.6
27.7,92.5
27.8,100.0
27.9,107.0
28,113.6
28.1,89.0
28.2,104.5
28.3,121.5
28.4,123.7
28.5,126.7
28.6,134.5
28.7,115.1
28.8,123.0
28.9,120.2
29,99.4
29.2,91.0
29.3,114.2
29.5,123.4
29.6,114.5
29.7,115.0
29.8,123.7
29.9,128.8
30,121.4
30.1,124.3
30.2,86.0
30.3,145.0
30.4,127.6
30.5,143.0
30.7,126.0
30.8,113.3
30.9,158.8
31,95.5
31.1,125.0
31.2,126.3
31.3,154.0
31.6,124.0
31.9,97.0
32,104.8
32.1,95.0
32.2,83.0
32.3,136.0
32.4,125.8
32.5,115.5
32.6,62.0
32.7,135.3
32.8,119.1
32.9,132.4
33.1,115.0
33.2,116.0
33.3,122.6
33.5,89.0
33.6,128.9
33.7,124.2
33.8,131.4
33.9,165.5
34,122.0
34.1,133.3
34.2,122.0
34.3,134.7
34.4,108.0
34.5,140.4
34.6,129.0
34.7,141.8
34.8,110.5
34.9,132.8
35,130.3
35.1,143.3
35.2,136.5
35.3,92.5
35.4,113.0
35.5,139.7
35.6,94.0
35.7,122.0
35.8,96.0
35.9,147.0
36,115.0
36.1,120.7
36.2,122.0
36.3,129.3
36.4,158.0
36.5,149.8
36.6,111.0
36.7,197.0
36.8,112.8
36.9,89.0
37,184.0
37.1,123.5
37.2,108.8
37.3,96.0
37.4,123.7
37.5,151.0
37.6,127.4
37.7,127.4
37.8,130.3
37.9,145.5
38,130.5
38.1,108.7
38.2,122.0
38.3,84.0
38.4,142.5
38.5,129.0
38.6,99.0
38.7,136.7
38.8,119.0
38.9,120.0
39,102.8
39.1,117.8
39.2,121.5
39.3,126.0
39.4,127.4
39.5,97.3
39.6,85.0
39.7,120.0
39.8,138.0
39.9,132.7
40,154.5
40.1,138.0
40.2,133.0
40.5,124.7
40.6,135.8
40.7,139.0
40.8,183.0
40.9,130.0
41,0.0
41.2,129.0
41.3,142.7
41.5,128.5
41.8,151.0
42,180.0
42.1,137.0
42.2,92.0
42.3,137.7
42.4,152.0
42.6,140.0
42.7,99.5
42.8,147.0
42.9,147.0
43.1,137.0
43.2,131.0
43.3,139.4
43.4,109.5
43.5,86.5
43.6,179.0
44,156.0
44.1,179.0
44.2,129.5
44.5,146.0
44.6,95.0
45,143.0
45.2,117.0
45.3,97.7
45.4,171.0
45.5,102.0
45.6,110.0
45.7,166.0
45.8,118.0
46.1,149.0
46.2,118.5
46.3,81.0
46.5,173.0
46.7,81.0
46.8,105.5
47.9,176.5
48.3,156.0
48.8,137.0
49.3,147.0
49.6,162.0
49.7,122.0
50,152.0
52.3,150.0
52.9,115.0
53.2,162.0
55,88.0
57.3,123.0
59.4,180.0
67.1,129.0
